;Text;Thématique;Groupe;lang;lang_predict;lemma;cleaned;bigrams
1444;['FRIEND', 'is', 'semi-autonomous', 'robot', 'designed', 'support', 'disabled', 'and', 'elderly', 'people', 'their', 'daily', 'life', 'activities', 'like', 'preparing', 'and', 'serving', 'meal'];robot;groupe C;En;En;['friend', 'semi-autonomous', 'robot', 'design', 'support', 'disabled', 'people', 'life', 'activity', 'prepare', 'serve', 'meal'];['friend', 'semi-autonomous', 'robot', 'design', 'support', 'disabled', 'people', 'life', 'activity', 'prepare', 'serve', 'meal'];['friend', 'semi-autonomous', 'robot', 'design', 'support', 'disabled', 'people', 'life', 'activity', 'prepare', 'serve', 'meal']
1445;['FRIEND', 'make', 'it', 'possible', 'for', 'patients', 'are', 'paraplegic', 'muscle', 'diseases', 'serious', 'paralysis', 'due', 'strokes', 'etc'];robot;groupe C;En;En;['friend', 'patient', 'paraplegic', 'muscle', 'disease', 'paralysis', 'stroke'];['friend', 'patient', 'paraplegic', 'muscle', 'disease', 'paralysis', 'stroke'];['friend', 'patient', 'paraplegic', 'muscle', 'disease', 'paralysis', 'stroke']
1446;['perform', 'tasks', 'without', 'help', 'from', 'other', 'people', 'like', 'therapists', 'nursing', 'staff'];robot;groupe C;En;En;['perform', 'task', 'people', 'therapist', 'nursing', 'staff'];['perform', 'task', 'people', 'therapist', 'nursing', 'staff'];['perform_task', 'people', 'therapist', 'nursing', 'staff']
1447;['Script', 'Pro', 'manufactures', 'robot', 'designed', 'help', 'pharmacies', 'fill', 'prescriptions', 'that', 'consist', 'of', 'solids', 'medications', 'pill', 'form'];robot;groupe C;En;En;['script', 'pro', 'manufacture', 'robot', 'design', 'pharmacy', 'prescription', 'consist', 'solid', 'medication', 'pill', 'form'];['script', 'pro', 'manufacture', 'robot', 'design', 'pharmacy', 'prescription', 'consist', 'solid', 'medication', 'pill', 'form'];['script', 'pro', 'manufacture', 'robot', 'design', 'pharmacy', 'prescription', 'consist', 'solid', 'medication', 'pill', 'form']
1448;['The', 'pharmacist', 'pharmacy', 'technician', 'enters', 'the', 'prescription', 'information', 'into', 'its', 'information', 'system'];robot;groupe C;En;En;['pharmacist', 'pharmacy', 'technician', 'enters', 'prescription'];['pharmacist', 'pharmacy', 'technician', 'enters', 'prescription'];['pharmacist', 'pharmacy', 'technician', 'enters', 'prescription']
1449;['The', 'system', 'upon', 'determining', 'whether', 'not', 'the', 'drug', 'is', 'the', 'robot', 'send', 'the', 'information', 'the', 'robot', 'for', 'filling'];robot;groupe C;En;En;['determine', 'drug', 'robot', 'send', 'robot'];['determine', 'drug', 'robot', 'send', 'robot'];['determine', 'drug', 'robot', 'send', 'robot']
1450;['The', 'robot', 'has', 'different', 'size', 'vials', 'fill', 'determined', 'by', 'the', 'size', 'of', 'the', 'pill'];robot;groupe C;En;En;['robot', 'size', 'vial', 'determine', 'size', 'pill'];['robot', 'size', 'vial', 'determine', 'size', 'pill'];['robot', 'size', 'vial', 'determine', 'size', 'pill']
1451;['The', 'robot', 'technician', 'user', 'pharmacist', 'determines', 'the', 'needed', 'size', 'of', 'the', 'based', 'on', 'the', 'tablet', 'when', 'the', 'robot', 'is', 'stocked'];robot;groupe C;En;En;['robot', 'technician', 'pharmacist', 'determines', 'size', 'base', 'tablet', 'robot', 'stock'];['robot', 'technician', 'pharmacist', 'determines', 'size', 'base', 'tablet', 'robot', 'stock'];['robot', 'technician', 'pharmacist', 'determines', 'size', 'base', 'tablet', 'robot', 'stock']
1452;['Once', 'the', 'is', 'filled', 'it', 'is', 'brought', 'up', 'conveyor', 'belt', 'that', 'delivers', 'it', 'that', 'spins', 'the', 'and', 'attaches', 'the'];robot;groupe C;En;En;['brought', 'conveyor', 'belt', 'delivers', 'spin', 'attache'];['brought', 'conveyor', 'belt', 'delivers', 'spin', 'attache'];['brought', 'conveyor_belt', 'delivers', 'spin', 'attache']
1453;['Afterwards', 'it', 'is', 'set', 'on', 'another', 'conveyor', 'that', 'delivers', 'the', 'medication', 'slot', 'labeled', 'with', 'the', 'name', 'on', 'LED', 'read', 'out'];robot;groupe C;En;En;['set', 'conveyor', 'delivers', 'medication', 'slot', 'label', 'led', 'read'];['set', 'conveyor', 'delivers', 'medication', 'slot', 'label', 'led', 'read'];['set', 'conveyor', 'delivers', 'medication', 'slot', 'label', 'led', 'read']
1454;['The', 'pharmacist', 'technician', 'then', 'checks', 'the', 'contents', 'of', 'the', 'ensure', 'it', 'the', 'correct', 'drug', 'for', 'the', 'correct', 'and', 'then', 'seals', 'the', 'vials', 'and', 'sends', 'it', 'out', 'front', 'picked', 'up'];robot;groupe C;En;En;['pharmacist', 'technician', 'check', 'content', 'ensure', 'correct', 'drug', 'correct', 'seal', 'vial', 'sends', 'picked'];['pharmacist', 'technician', 'check', 'content', 'ensure', 'correct', 'drug', 'correct', 'seal', 'vial', 'sends', 'picked'];['pharmacist', 'technician', 'check', 'content', 'ensure', 'correct', 'drug', 'correct', 'seal', 'vial', 'sends', 'picked']
1455;['The', 'robot', 'is', 'very', 'time', 'efficient', 'device', 'that', 'the', 'pharmacy', 'depends', 'on', 'fill', 'prescriptions'];robot;groupe C;En;En;['robot', 'time', 'efficient', 'device', 'pharmacy', 'depends', 'prescription'];['robot', 'time', 'efficient', 'device', 'pharmacy', 'depends', 'prescription'];['robot', 'time', 'efficient', 'device', 'pharmacy', 'depends', 'prescription']
1456;['McKesson', 'Robot', 'RX', 'is', 'another', 'healthcare', 'robotics', 'product', 'that', 'helps', 'pharmacies', 'dispense', 'thousands', 'of', 'medications', 'daily', 'with', 'little', 'no', 'errors'];robot;groupe C;En;En;['mckesson', 'robot', 'rx', 'healthcare', 'robotics', 'product', 'pharmacy', 'dispense', 'medication', 'error'];['mckesson', 'robot', 'rx', 'healthcare', 'robotics', 'product', 'pharmacy', 'dispense', 'medication', 'error'];['mckesson', 'robot', 'rx', 'healthcare', 'robotics', 'product', 'pharmacy', 'dispense', 'medication', 'error']
1457;['The', 'robot', 'can', 'ten', 'feet', 'wide', 'and', 'thirty', 'feet', 'and', 'can', 'hold', 'hundreds', 'of', 'different', 'kinds', 'of', 'medications', 'and', 'thousands', 'of', 'doses'];robot;groupe C;En;En;['robot', 'foot', 'wide', 'foot', 'hold', 'medication', 'dos'];['robot', 'foot', 'wide', 'foot', 'hold', 'medication', 'dos'];['robot', 'foot', 'wide', 'foot', 'hold', 'medication', 'dos']
1458;['The', 'pharmacy', 'resources', 'like', 'staff', 'members', 'that', 'are', 'otherwise', 'unavailable', 'resource', 'scarce', 'industry'];robot;groupe C;En;En;['pharmacy', 'resources', 'staff', 'unavailable', 'resource', 'scarce', 'industry'];['pharmacy', 'resources', 'staff', 'unavailable', 'resource', 'scarce', 'industry'];['pharmacy', 'resources', 'staff', 'unavailable', 'resource', 'scarce', 'industry']
1459;['It', 'uses', 'electromechanical', 'head', 'coupled', 'with', 'pneumatic', 'system', 'capture', 'each', 'dose', 'and', 'deliver', 'it', 'its', 'either', 'stocked', 'dispensed', 'location'];robot;groupe C;En;En;['electromechanical', 'head', 'couple', 'pneumatic', 'capture', 'dose', 'deliver', 'stock', 'dispense', 'location'];['electromechanical', 'head', 'couple', 'pneumatic', 'capture', 'dose', 'deliver', 'stock', 'dispense', 'location'];['electromechanical', 'head', 'couple', 'pneumatic', 'capture', 'dose', 'deliver', 'stock', 'dispense', 'location']
1460;['The', 'head', 'moves', 'along', 'single', 'axis', 'while', 'it', 'rotates', 'degrees', 'pull', 'the', 'medications'];robot;groupe C;En;En;['head', 'single', 'axis', 'rotates', 'degree', 'pull', 'medication'];['head', 'single', 'axis', 'rotates', 'degree', 'pull', 'medication'];['head', 'single', 'axis', 'rotates', 'degree', 'pull', 'medication']
1461;['During', 'process', 'it', 'uses', 'barcode', 'technology', 'verify', 'its', 'pulling', 'the', 'correct', 'drug'];robot;groupe C;En;En;['process', 'barcode', 'technology', 'verify', 'pull', 'correct', 'drug'];['process', 'barcode', 'technology', 'verify', 'pull', 'correct', 'drug'];['process', 'barcode', 'technology', 'verify', 'pull', 'correct', 'drug']
1462;['It', 'then', 'delivers', 'the', 'drug', 'specific', 'on', 'conveyor', 'belt'];robot;groupe C;En;En;['delivers', 'drug', 'specific', 'conveyor', 'belt'];['delivers', 'drug', 'specific', 'conveyor', 'belt'];['delivers', 'drug', 'specific', 'conveyor_belt']
1463;['Once', 'the', 'is', 'filled', 'with', 'all', 'of', 'the', 'drugs', 'that', 'particular', 'needs', 'and', 'that', 'the', 'robot', 'stocks', 'the', 'is', 'then', 'released', 'and', 'returned', 'out', 'on', 'the', 'conveyor', 'belt', 'technician', 'waiting', 'load', 'it', 'into', 'cart', 'for', 'delivery', 'the', 'floor'];robot;groupe C;En;En;['drug', 'robot', 'stock', 'release', 'return', 'conveyor', 'belt', 'technician', 'wait', 'load', 'cart', 'delivery', 'floor'];['drug', 'robot', 'stock', 'release', 'return', 'conveyor', 'belt', 'technician', 'wait', 'load', 'cart', 'delivery', 'floor'];['drug', 'robot', 'stock', 'release', 'return', 'conveyor_belt', 'technician', 'wait', 'load', 'cart', 'delivery', 'floor']
1464;['While', 'most', 'robots', 'today', 'are', 'installed', 'factories', 'homes', 'performing', 'labour', 'life', 'saving', 'jobs', 'types', 'of', 'robot', 'are', 'being', 'developed', 'laboratories', 'around', 'the', 'world'];robot;groupe C;En;En;['robots', 'instal', 'factory', 'perform', 'labour', 'life', 'job', 'types', 'robot', 'developed', 'laboratory'];['robots', 'instal', 'factory', 'perform', 'labour', 'life', 'job', 'types', 'robot', 'developed', 'laboratory'];['robots', 'instal', 'factory', 'perform', 'labour', 'life', 'job', 'types', 'robot', 'developed', 'laboratory']
1465;['Much', 'of', 'the', 'research', 'robotics', 'focuses', 'not', 'on', 'specific', 'industrial', 'tasks', 'but', 'on', 'investigations', 'into', 'types', 'of', 'robot', 'alternative', 'ways', 'think', 'about', 'design', 'robots', 'and', 'ways', 'manufacture', 'them'];robot;groupe C;En;En;['robotics', 'focus', 'specific', 'industrial', 'task', 'investigation', 'types', 'robot', 'alternative', 'design', 'robots', 'manufacture'];['robotics', 'focus', 'specific', 'industrial', 'task', 'investigation', 'types', 'robot', 'alternative', 'design', 'robots', 'manufacture'];['robotics', 'focus', 'specific', 'industrial', 'task', 'investigation', 'types', 'robot', 'alternative', 'design', 'robots', 'manufacture']
1466;['It', 'is', 'expected', 'that', 'these', 'types', 'of', 'robot', 'able', 'solve', 'world', 'problems', 'when', 'are', 'finally', 'realized'];robot;groupe C;En;En;['expect', 'types', 'robot', 'solve', 'realize'];['expect', 'types', 'robot', 'solve', 'realize'];['expect', 'types', 'robot', 'solve', 'realize']
1467;['One', 'approach', 'designing', 'robots', 'is', 'base', 'them', 'on', 'animals'];robot;groupe C;En;En;['approach', 'design', 'robots', 'base', 'animal'];['approach', 'design', 'robots', 'base', 'animal'];['approach', 'design', 'robots', 'base', 'animal']
1468;['was', 'designed', 'and', 'engineered', 'by', 'studying', 'and', 'applying', 'the', 'physiology', 'and', 'methods', 'of', 'locomotion', 'of', 'kangaroo'];robot;groupe C;En;En;['design', 'engineer', 'study', 'apply', 'physiology', 'method', 'locomotion', 'kangaroo'];['design', 'engineer', 'study', 'apply', 'physiology', 'method', 'locomotion', 'kangaroo'];['design', 'engineer', 'study', 'apply', 'physiology', 'method', 'locomotion', 'kangaroo']
1469;['is', 'the', 'emerging', 'technology', 'field', 'of', 'creating', 'machines', 'robots', 'whose', 'components', 'are', 'the', 'microscopic', 'scale', 'of', 'nanometer', 'meters'];robot;groupe C;En;En;['emerge', 'technology', 'field', 'create', 'machines', 'robots', 'component', 'microscopic', 'scale', 'nanometer', 'meter'];['emerge', 'technology', 'field', 'create', 'machines', 'robots', 'component', 'microscopic', 'scale', 'nanometer', 'meter'];['emerge', 'technology', 'field', 'create', 'machines', 'robots', 'component', 'microscopic', 'scale', 'nanometer', 'meter']
1470;['Also', 'known', 'as', 'nanobots', 'nanites', 'would', 'constructed', 'from', 'molecular', 'machines'];robot;groupe C;En;En;['nanobots', 'nanites', 'construct', 'molecular', 'machines'];['nanobots', 'nanites', 'construct', 'molecular', 'machines'];['nanobots', 'nanites', 'construct', 'molecular', 'machines']
1471;['researchers', 'mostly', 'produced', 'only', 'parts', 'of', 'these', 'complex', 'systems', 'as', 'bearings', 'sensors', 'and', 'synthetic', 'molecular', 'motors', 'but', 'functioning', 'robots', 'also', 'been', 'made', 'as', 'the', 'entrants', 'the', 'Nanobot', 'Robocup', 'contest'];robot;groupe C;En;En;['researchers', 'produce', 'complex', 'systems', 'bearing', 'sensor', 'synthetic', 'molecular', 'motors', 'function', 'robots', 'entrant', 'nanobot', 'robocup', 'contest'];['researchers', 'produce', 'complex', 'systems', 'bearing', 'sensor', 'synthetic', 'molecular', 'motors', 'function', 'robots', 'entrant', 'nanobot', 'robocup', 'contest'];['researchers', 'produce', 'complex', 'systems', 'bearing', 'sensor', 'synthetic', 'molecular', 'motors', 'function', 'robots', 'entrant', 'nanobot', 'robocup', 'contest']
1472;['Researchers', 'also', 'hope', 'able', 'create', 'entire', 'robots', 'as', 'small', 'as', 'viruses', 'bacteria', 'which', 'could', 'perform', 'tasks', 'on', 'tiny', 'scale'];robot;groupe C;En;En;['researchers', 'hope', 'create', 'entire', 'robots', 'virus', 'bacteria', 'perform', 'task', 'tiny', 'scale'];['researchers', 'hope', 'create', 'entire', 'robots', 'virus', 'bacteria', 'perform', 'task', 'tiny', 'scale'];['researchers', 'hope', 'create', 'entire', 'robots', 'virus', 'bacteria', 'perform_task', 'tiny', 'scale']
1473;['Possible', 'applications', 'include', 'micro', 'surgery', 'on', 'the', 'of', 'individual', 'cells', 'utility', 'fog', 'manufacturing', 'weaponry', 'and', 'cleaning'];robot;groupe C;En;En;['applications', 'micro', 'surgery', 'individual', 'cell', 'utility', 'fog', 'manufacturing', 'weaponry', 'cleaning'];['applications', 'micro', 'surgery', 'individual', 'cell', 'utility', 'fog', 'manufacturing', 'weaponry', 'cleaning'];['applications', 'micro', 'surgery', 'individual', 'cell', 'utility', 'fog', 'manufacturing', 'weaponry', 'cleaning']
1474;['people', 'suggested', 'that', 'if', 'there', 'were', 'nanobots', 'which', 'could', 'reproduce', 'the', 'earth', 'would', 'turn', 'into', 'goo', 'while', 'others', 'argue', 'that', 'hypothetical', 'outcome', 'is', 'nonsense'];robot;groupe C;En;En;['people', 'nanobots', 'reproduce', 'earth', 'goo', 'argue', 'hypothetical', 'outcome', 'nonsense'];['people', 'nanobots', 'reproduce', 'earth', 'goo', 'argue', 'hypothetical', 'outcome', 'nonsense'];['people', 'nanobots', 'reproduce', 'earth', 'goo', 'argue', 'hypothetical', 'outcome', 'nonsense']
1475;['few', 'researchers', 'investigated', 'the', 'possibility', 'of', 'creating', 'robots', 'which', 'can', 'their', 'physical', 'form', 'suit', 'particular', 'task', 'like', 'the', 'fictional', 'T-1000'];robot;groupe C;En;En;['researchers', 'investigate', 'possibility', 'create', 'robots', 'physical', 'form', 'suit', 'task', 'fictional', 't-1000'];['researchers', 'investigate', 'possibility', 'create', 'robots', 'physical', 'form', 'suit', 'task', 'fictional', 't-'];['researchers', 'investigate', 'possibility', 'create', 'robots', 'physical', 'form', 'suit', 'task', 'fictional', 't-']
1476;['robots', 'are', 'nowhere', 'near', 'that', 'sophisticated', 'however', 'and', 'mostly', 'consist', 'of', 'small', 'number', 'of', 'cube', 'shaped', 'units', 'which', 'can', 'move', 'relative', 'their', 'neighbours'];robot;groupe C;En;En;['robots', 'sophisticated', 'consist', 'cube', 'shape', 'unit', 'relative', 'neighbour'];['robots', 'sophisticated', 'consist', 'cube', 'shape', 'unit', 'relative', 'neighbour'];['robots', 'sophisticated', 'consist', 'cube', 'shape', 'unit', 'relative', 'neighbour']
1477;['Algorithms', 'been', 'designed', 'case', 'any', 'robots', 'become', 'reality'];robot;groupe C;En;En;['algorithms', 'design', 'robots', 'reality'];['algorithms', 'design', 'robots', 'reality'];['algorithms', 'design', 'robots', 'reality']
1478;['Robots', 'with', 'silicone', 'bodies', 'and', 'flexible', 'actuators', 'air', 'muscles', 'electroactive', 'polymers', 'and', 'ferrofluids', 'and', 'feel', 'different', 'from', 'robots', 'with', 'rigid', 'skeletons', 'and', 'can', 'different', 'behaviors'];robot;groupe C;En;En;['robots', 'silicone', 'body', 'flexible', 'actuator', 'air', 'muscles', 'electroactive', 'polymer', 'ferrofluids', 'feel', 'robots', 'rigid', 'skeleton', 'behavior'];['robots', 'silicone', 'body', 'flexible', 'actuator', 'air', 'muscles', 'electroactive', 'polymer', 'ferrofluids', 'feel', 'robots', 'rigid', 'skeleton', 'behavior'];['robots', 'silicone', 'body', 'flexible', 'actuator', 'air', 'muscles', 'electroactive', 'polymer', 'ferrofluids', 'feel', 'robots', 'rigid', 'skeleton', 'behavior']
1479;['Soft', 'flexible', 'and', 'sometimes', 'squishy', 'robots', 'are', 'often', 'designed', 'mimic', 'the', 'biomechanics', 'of', 'animals', 'and', 'other', 'things', 'found', 'nature', 'which', 'is', 'leading', 'applications', 'medicine', 'giving', 'search', 'and', 'rescue', 'food', 'handling', 'and', 'manufacturing', 'and', 'scientific', 'exploration'];robot;groupe C;En;En;['soft', 'flexible', 'squishy', 'robots', 'design', 'mimic', 'biomechanics', 'animal', 'nature', 'lead', 'applications', 'medicine', 'search', 'rescue', 'food', 'handle', 'manufacturing', 'scientific', 'exploration'];['soft', 'flexible', 'squishy', 'robots', 'design', 'mimic', 'biomechanics', 'animal', 'nature', 'lead', 'applications', 'medicine', 'search', 'rescue', 'food', 'handle', 'manufacturing', 'scientific', 'exploration'];['soft', 'flexible', 'squishy', 'robots', 'design', 'mimic', 'biomechanics', 'animal', 'nature', 'lead', 'applications', 'medicine', 'search', 'rescue', 'food', 'handle', 'manufacturing', 'scientific', 'exploration']
1480;['Inspired', 'by', 'colonies', 'of', 'insects', 'as', 'ants', 'and', 'bees', 'researchers', 'are', 'modeling', 'the', 'behavior', 'of', 'swarms', 'of', 'thousands', 'of', 'tiny', 'robots', 'which', 'together', 'perform', 'useful', 'task', 'as', 'finding', 'something', 'cleaning', 'spying'];robot;groupe C;En;En;['inspired', 'colony', 'insect', 'ant', 'bee', 'researchers', 'modeling', 'behavior', 'swarm', 'tiny', 'robots', 'perform', 'task', 'cleaning', 'spy'];['inspired', 'colony', 'insect', 'ant', 'bee', 'researchers', 'modeling', 'behavior', 'swarm', 'tiny', 'robots', 'perform', 'task', 'cleaning', 'spy'];['inspired', 'colony', 'insect', 'ant', 'bee', 'researchers', 'modeling', 'behavior', 'swarm', 'tiny', 'robots', 'perform_task', 'cleaning', 'spy']
1481;['Each', 'robot', 'is', 'quite', 'simple', 'but', 'the', 'emergent', 'behavior', 'of', 'the', 'swarm', 'is', 'complex'];robot;groupe C;En;En;['robot', 'simple', 'emergent', 'behavior', 'swarm', 'complex'];['robot', 'simple', 'emergent', 'behavior', 'swarm', 'complex'];['robot', 'simple', 'emergent', 'behavior', 'swarm', 'complex']
1482;['The', 'whole', 'set', 'of', 'robots', 'can', 'considered', 'as', 'one', 'single', 'distributed', 'system', 'the', 'same', 'way', 'ant', 'colony', 'can', 'considered', 'superorganism', 'exhibiting', 'swarm', 'intelligence'];robot;groupe C;En;En;['set', 'robots', 'single', 'distribute', 'ant', 'colony', 'superorganism', 'exhibit', 'swarm', 'intelligence'];['set', 'robots', 'single', 'distribute', 'ant', 'colony', 'superorganism', 'exhibit', 'swarm', 'intelligence'];['set', 'robots', 'single', 'distribute', 'ant', 'colony', 'superorganism', 'exhibit', 'swarm_intelligence']
1483;['The', 'largest', 'swarms', 'created', 'include', 'the', 'iRobot', 'swarm', 'the', 'SRI', 'MobileRobots', 'CentiBots', 'project', 'and', 'the', 'Open-source', 'Micro-robotic', 'Project', 'swarm', 'which', 'are', 'being', 'used', 'research', 'collective', 'behaviors'];robot;groupe C;En;En;['swarm', 'create', 'irobot', 'swarm', 'mobilerobots', 'centibots', 'project', 'open-source', 'micro-robotic', 'project', 'swarm', 'collective', 'behavior'];['swarm', 'create', 'irobot', 'swarm', 'mobilerobots', 'centibots', 'project', 'open-source', 'micro-robotic', 'project', 'swarm', 'collective', 'behavior'];['swarm', 'create', 'irobot', 'swarm', 'mobilerobots', 'centibots', 'project', 'open-source', 'micro-robotic', 'project', 'swarm', 'collective', 'behavior']
1484;['Swarms', 'are', 'also', 'resistant', 'failure'];robot;groupe C;En;En;['swarms', 'resistant', 'failure'];['swarms', 'resistant', 'failure'];['swarms', 'resistant', 'failure']
1485;['Whereas', 'one', 'robot', 'fail', 'and', 'mission', 'swarm', 'can', 'continue', 'if', 'several', 'robots', 'fail'];robot;groupe C;En;En;['robot', 'fail', 'mission', 'swarm', 'continue', 'robots', 'fail'];['robot', 'fail', 'mission', 'swarm', 'continue', 'robots', 'fail'];['robot', 'fail', 'mission', 'swarm', 'continue', 'robots', 'fail']
1486;['could', 'make', 'them', 'attractive', 'for', 'space', 'exploration', 'missions', 'where', 'failure', 'is', 'normally', 'extremely', 'costly'];robot;groupe C;En;En;['attractive', 'space', 'exploration', 'missions', 'failure', 'costly'];['attractive', 'space', 'exploration', 'missions', 'failure', 'costly'];['attractive', 'space', 'exploration', 'missions', 'failure', 'costly']
1487;['Robotics', 'also', 'has', 'application', 'the', 'design', 'of', 'virtual', 'reality', 'interfaces'];robot;groupe C;En;En;['robotics', 'application', 'design', 'virtual', 'reality', 'interfaces'];['robotics', 'application', 'design', 'virtual', 'reality', 'interfaces'];['robotics', 'application', 'design', 'virtual', 'reality', 'interfaces']
1488;['Specialized', 'robots', 'are', 'widespread', 'the', 'haptic', 'research', 'community'];robot;groupe C;En;En;['specialized', 'robots', 'widespread', 'haptic', 'community'];['specialized', 'robots', 'widespread', 'haptic', 'community'];['specialized', 'robots', 'widespread', 'haptic', 'community']
1489;['These', 'robots', 'called', 'haptic', 'interfaces', 'allow', 'touch-enabled', 'user', 'interaction', 'with', 'and', 'virtual', 'environments'];robot;groupe C;En;En;['robots', 'haptic', 'interfaces', 'touch-enabled', 'interaction', 'virtual', 'environments'];['robots', 'haptic', 'interfaces', 'touch-enabled', 'interaction', 'virtual', 'environments'];['robots', 'haptic', 'interfaces', 'touch-enabled', 'interaction', 'virtual', 'environments']
1490;['Robotic', 'forces', 'allow', 'simulating', 'the', 'mechanical', 'properties', 'of', 'virtual', 'objects', 'which', 'users', 'can', 'experience', 'through', 'their', 'sense', 'of'];robot;groupe C;En;En;['robotic', 'force', 'simulate', 'mechanical', 'property', 'virtual', 'object', 'experience', 'sense'];['robotic', 'force', 'simulate', 'mechanical', 'property', 'virtual', 'object', 'experience', 'sense'];['robotic', 'force', 'simulate', 'mechanical', 'property', 'virtual', 'object', 'experience', 'sense']
1491;['Robotic', 'characters', 'androids', 'artificial', 'men', 'women', 'gynoids', 'artificial', 'women', 'and', 'cyborgs', 'also', 'bionic', 'men', 'women', 'humans', 'with', 'significant', 'mechanical', 'enhancements', 'become', 'staple', 'of', 'science', 'fiction'];robot;groupe C;En;En;['robotic', 'character', 'android', 'artificial', 'woman', 'gynoids', 'artificial', 'woman', 'cyborg', 'bionic', 'woman', 'human', 'mechanical', 'enhancement', 'staple', 'science', 'fiction'];['robotic', 'character', 'android', 'artificial', 'woman', 'gynoids', 'artificial', 'woman', 'cyborg', 'bionic', 'woman', 'human', 'mechanical', 'enhancement', 'staple', 'science', 'fiction'];['robotic', 'character', 'android', 'artificial', 'woman', 'gynoids', 'artificial', 'woman', 'cyborg', 'bionic', 'woman', 'human', 'mechanical', 'enhancement', 'staple', 'science_fiction']
1492;['The', 'first', 'reference', 'literature', 'mechanical', 'servants', 'appears', 'Iliad'];robot;groupe C;En;En;['reference', 'literature', 'mechanical', 'servant', 'iliad'];['reference', 'literature', 'mechanical', 'servant', 'iliad'];['reference', 'literature', 'mechanical', 'servant', 'iliad']
1493;['Book', 'XVIII', 'god', 'of', 'fire', 'creates', 'for', 'the', 'assisted', 'by', 'robots'];robot;groupe C;En;En;['book', 'xviii', 'god', 'creates', 'assist', 'robots'];['book', 'xviii', 'god', 'creates', 'assist', 'robots'];['book', 'xviii', 'god', 'creates', 'assist', 'robots']
1494;['According', 'the', 'translation', 'Golden', 'maidservants', 'hastened', 'help', 'their', 'master'];robot;groupe C;En;En;['translation', 'golden', 'maidservant', 'hasten', 'master'];['translation', 'golden', 'maidservant', 'hasten', 'master'];['translation', 'golden', 'maidservant', 'hasten', 'master']
1495;['looked', 'like', 'women', 'and', 'could', 'not', 'only', 'speak', 'and', 'their', 'limbs', 'but', 'were', 'endowed', 'with', 'intelligence', 'and', 'trained', 'handwork', 'by', 'the', 'immortal', 'gods'];robot;groupe C;En;En;['woman', 'speak', 'limb', 'endow', 'intelligence', 'train', 'handwork', 'immortal', 'god'];['woman', 'speak', 'limb', 'endow', 'intelligence', 'train', 'handwork', 'immortal', 'god'];['woman', 'speak', 'limb', 'endow', 'intelligence', 'train', 'handwork', 'immortal', 'god']
1496;['The', 'words', 'robot', 'android', 'are', 'not', 'used', 'describe', 'them', 'but', 'are', 'nevertheless', 'mechanical', 'devices', 'human', 'appearance'];robot;groupe C;En;En;['word', 'robot', 'android', 'mechanical', 'device', 'human', 'appearance'];['word', 'robot', 'android', 'mechanical', 'device', 'human', 'appearance'];['word_robot', 'android', 'mechanical', 'device', 'human', 'appearance']
1497;['The', 'first', 'of', 'the', 'word', 'Robot', 'was'];robot;groupe C;En;En;['word', 'robot'];['word', 'robot'];['word_robot']
1498;['Rossum', 'Universal', 'Robots', 'written'];robot;groupe C;En;En;['universal', 'robots', 'write'];['universal', 'robots', 'write'];['universal_robots', 'write']
1499;['Possibly', 'the', 'most', 'prolific', 'author', 'of', 'the', 'twentieth', 'century', 'was', 'published', 'over', 'five-hundred', 'books'];robot;groupe C;En;En;['prolific', 'author', 'twentieth', 'century', 'publish', 'five-hundred', 'book'];['prolific', 'author', 'twentieth', 'century', 'publish', 'five-hundred', 'book'];['prolific', 'author', 'twentieth', 'century', 'publish', 'five-hundred', 'book']
1500;['is', 'probably', 'remembered', 'for', 'science-fiction', 'stories', 'and', 'especially', 'those', 'about', 'robots', 'where', 'placed', 'robots', 'and', 'their', 'interaction', 'with', 'society', 'the', 'center', 'of', 'of', 'works'];robot;groupe C;En;En;['remember', 'science-fiction', 'story', 'robots', 'robots', 'interaction', 'society', 'center'];['remember', 'science-fiction', 'story', 'robots', 'robots', 'interaction', 'society', 'center'];['remember', 'science-fiction', 'story', 'robots', 'robots', 'interaction', 'society', 'center']
